Invoice Number,Entity Type,Purchase Item,Unit Price,Quantity,Customer Id
1161550,Plan,STV-MTHLY,0,1,cus_9664787
1161550,Addon,Tax,0,1,cus_9664787
1161550,Addon,FREE-KITSH,4.99,1,cus_9664787
1161534,Plan,STV-MTHLY,0,1,cus_9664763
1161534,Addon,CHN-VAL-1YR,10,1,cus_9664763
1161529,Plan,STV-MTHLY,0,1,cus_9664758
1161529,Addon,CHN-VAL-1YR,10,1,cus_9664758
1161514,Plan,STV-MTHLY,0,1,cus_9664743
1161514,Addon,CHN-VAL-1YR,10,1,cus_9664743
1161509,Plan,STV-MTHLY,0,1,cus_9664739
1161509,Addon,CHN-VAL-1YR,10,1,cus_9664739
1161618,Addon,Tax,0,1,cus_9585609
1161618,Addon,FREE-KITSH,4.99,1,cus_9585609
1157990,Plan,STV-MTHLY,0,1,cus_9664791
1157990,Addon,CHN-VAL-1YR,10,1,cus_9664791
1157983,Plan,STV-MTHLY,0,1,cus_9664716
1157983,Addon,CHN-VAL-1YR,10,1,cus_9664716
1157971,Plan,STV-MTHLY,0,1,cus_9664703
1157971,Addon,CHN-VAL-1YR,10,1,cus_9664703
1157958,Plan,STV-MTHLY,0,1,cus_9664690
1157958,Addon,CHN-VAL-1YR,10,1,cus_9664690
1157952,Plan,STV-MTHLY,0,1,cus_9664684
1157952,Addon,CHN-VAL-1YR,10,1,cus_9664684
1157933,Plan,STV-MTHLY,0,1,cus_9664665
1157933,Addon,CHN-VAL-1YR,10,1,cus_9664665
1157924,Plan,STV-MTHLY,0,1,cus_9664655
1157924,Addon,CHN-VAL-1YR,10,1,cus_9664655
1157918,Plan,STV-MTHLY,0,1,cus_9664649
1157918,Addon,CHN-VAL-1YR,10,1,cus_9664649
1154337,Plan,STV-MTHLY,0,1,cus_9664643
1154337,Addon,CHN-VAL-1YR,10,1,cus_9664643
1154328,Plan,STV-MTHLY,0,1,cus_9664634
1154328,Addon,CHN-VAL-1YR,10,1,cus_9664634
1154320,Addon,CHN-VAL-1YR,10,1,cus_9664690
1154310,Plan,STV-MTHLY,0,1,cus_9664614
1154310,Addon,CHN-VAL-1YR,10,1,cus_9664614
1154306,Plan,STV-MTHLY,0,1,cus_9664610
1154306,Addon,CHN-VAL-1YR,10,1,cus_9664610
1154303,Addon,CHN-VAL-1YR,10,1,cus_9664607
1154302,Addon,CHN-VAL-1YR,10,1,cus_9664607
1154301,Addon,CHN-VAL-1YR,10,1,cus_9664607
1154300,Addon,CHN-VAL-1YR,10,1,cus_9664607
1154296,Addon,CHN-VAL-1YR,10,1,cus_9664604
1154255,Plan,STV-MTHLY,0,1,cus_9664568
1154255,Addon,CHN-VAL-1YR,10,1,cus_9664568
1154245,Plan,STV-MTHLY,0,1,cus_9664558
1154245,Addon,CHN-VAL-1YR,10,1,cus_9664558
1153131,Plan,STV-MTHLY,0,1,cus_9664554
1153131,Addon,CHN-VAL,4.99,1,cus_9664554
1161557,Addon,Tax,0,1,cus_9664548
1161557,Addon,FREE-KITSH,4.99,1,cus_9664548
1152073,Plan,STV-MTHLY,0,1,cus_9664549
1152073,Addon,CHN-VAL-1YR,10,1,cus_9664549
1152059,Plan,STV-MTHLY,0,1,cus_9664595
1152059,Addon,CHN-VAL-1YR,10,1,cus_9664595
1152051,Plan,STV-MTHLY,0,1,cus_9664517
1152051,Addon,CHN-VAL-1YR,10,1,cus_9664517
1152047,Plan,STV-MTHLY,0,1,cus_9664514
1152047,Addon,CHN-VAL-1YR,10,1,cus_9664514
1152014,Plan,STV-MTHLY,0,1,cus_9664485
1152014,Addon,CHN-VAL-1YR,10,1,cus_9664485
1161561,Addon,Tax,0,1,cus_9660988
1161561,Addon,FREE-KITSH,4.99,1,cus_9660988
1161590,Addon,Tax,0,1,cus_9478438
1161590,Addon,FREE-KITSH,4.99,1,cus_9478438
1149681,Plan,STV-MTHLY,0,1,cus_9664460
1149681,Addon,CHN-VAL-1YR,10,1,cus_9664460
1149661,Plan,STV-MTHLY,0,1,cus_9664439
1149661,Addon,CHN-VAL-1YR,10,1,cus_9664439
1149658,Plan,STV-MTHLY,0,1,cus_9664436
1149658,Addon,CHN-VAL-1YR,10,1,cus_9664436
1149650,Plan,STV-MTHLY,0,1,cus_9664498
1149650,Addon,CHN-VAL-1YR,10,1,cus_9664498
1149643,Plan,STV-MTHLY,0,1,cus_9664419
1149643,Addon,CHN-VAL-1YR,10,1,cus_9664419
1149625,Plan,STV-MTHLY,0,1,cus_9664409
1149625,Addon,CHN-VAL-1YR,10,1,cus_9664409
1154243,Addon,CHN-VAL-1YR,10,1,cus_9664400
1149620,Plan,STV-MTHLY,0,1,cus_9664397
1149620,Addon,CHN-VAL-1YR,10,1,cus_9664397
1149598,Plan,STV-MTHLY,0,1,cus_9664375
1149598,Addon,CHN-VAL-1YR,10,1,cus_9664375
1149596,Plan,STV-MTHLY,0,1,cus_9664373
1149596,Addon,CHN-VAL-1YR,10,1,cus_9664373
1149592,Plan,STV-MTHLY,0,1,cus_9664369
1149592,Addon,CHN-VAL-1YR,10,1,cus_9664369
1149586,Plan,STV-MTHLY,0,1,cus_9664363
1149586,Addon,CHN-VAL,4.99,1,cus_9664363
1149579,Addon,CHN-VAL-1YR,10,1,cus_9664344
1149560,Plan,STV-MTHLY,0,1,cus_9664339
1149560,Addon,CHN-VAL-1YR,10,1,cus_9664339
1147750,Addon,CHN-VAL-1YR,10,1,cus_9664979
1147740,Plan,STV-MTHLY,0,1,cus_9664305
1147740,Addon,CHN-VAL-1YR,10,1,cus_9664305
1147733,Plan,STV-MTHLY,0,1,cus_9664998
1147733,Addon,CHN-VAL-1YR,10,1,cus_9664998
1147711,Plan,STV-MTHLY,0,1,cus_9664974
1147711,Addon,CHN-VAL-1YR,10,1,cus_9664974
1147749,Addon,CHN-VAL-1YR,10,1,cus_9664979
1147679,Plan,STV-MTHLY,0,1,cus_9664943
1147679,Addon,CHN-VAL-1YR,10,1,cus_9664943
1147652,Plan,STV-MTHLY,0,1,cus_9664916
1147652,Addon,CHN-VAL-1YR,10,1,cus_9664916
1147646,Plan,STV-MTHLY,0,1,cus_9664909
1147646,Addon,CHN-VAL-1YR,10,1,cus_9664909
1147635,Plan,STV-MTHLY,0,1,cus_9664198
1147635,Addon,CHN-VAL-1YR,10,1,cus_9664198
1147628,Plan,STV-MTHLY,0,1,cus_9664193
1147628,Addon,CHN-VAL-1YR,10,1,cus_9664193
1147624,Plan,STV-MTHLY,0,1,cus_9664189
1147624,Addon,CHN-VAL-1YR,10,1,cus_9664189
1147623,Plan,STV-MTHLY,0,1,cus_9664188
1147623,Addon,CHN-VAL-1YR,10,1,cus_9664188
1147619,Plan,STV-MTHLY,0,1,cus_9664185
1147619,Addon,CHN-VAL-1YR,10,1,cus_9664185
1147554,Plan,STV-MTHLY,0,1,cus_9664174
1147554,Addon,CHN-VAL-1YR,10,1,cus_9664174
1147691,Addon,CHN-VAL,4.99,1,cus_9475870
1147611,Addon,CHN-VAL-1YR,10,1,cus_9664179
1145762,Plan,STV-MTHLY,0,1,cus_9664166
1145762,Addon,CHN-VAL-1YR,10,1,cus_9664166
1145760,Plan,STV-MTHLY,0,1,cus_9664164
1145760,Addon,CHN-VAL-1YR,10,1,cus_9664164
1145759,Plan,STV-MTHLY,0,1,cus_9664163
1145759,Addon,CHN-VAL-1YR,10,1,cus_9664163
1145758,Plan,STV-MTHLY,0,1,cus_9664161
1145758,Addon,CHN-VAL-1YR,10,1,cus_9664161
1145736,Plan,STV-MTHLY,0,1,cus_9664140
1145736,Addon,CHN-VAL-1YR,10,1,cus_9664140
1161589,Addon,Tax,0,1,cus_9664138
1161589,Addon,FREE-KITSH,4.99,1,cus_9664138
1145734,Plan,STV-MTHLY,0,1,cus_9664138
1145734,Addon,CHN-VAL-1YR,10,1,cus_9664138
1145730,Plan,STV-MTHLY,0,1,cus_9664139
1145730,Addon,CHN-VAL-1YR,10,1,cus_9664139
1145724,Plan,STV-MTHLY,0,1,cus_9664197
1145724,Addon,CHN-VAL-1YR,10,1,cus_9664197
1145726,Addon,CHN-VAL-1YR,10,1,cus_9664194
1145768,Addon,CHN-VAL-1YR,10,1,cus_9664191
1145712,Plan,STV-MTHLY,0,1,cus_9664116
1145712,Addon,CHN-VAL-1YR,10,1,cus_9664116
1145695,Plan,STV-MTHLY,0,1,cus_9664100
1145695,Addon,Tax,0,1,cus_9664100
1145695,Addon,FREE-KITSH,4.99,1,cus_9664100
1145743,Addon,CHN-VAL-1YR,10,1,cus_9664064
1143973,Plan,STV-MTHLY,0,1,cus_9664049
1143973,Addon,CHN-VAL-1YR,10,1,cus_9664049
1143957,Plan,STV-MTHLY,0,1,cus_9664033
1143957,Addon,CHN-VAL-1YR,10,1,cus_9664033
1143932,Plan,STV-MTHLY,0,1,cus_9664010
1143932,Addon,CHN-VAL-1YR,10,1,cus_9664010
1143906,Plan,STV-MTHLY,0,1,cus_9663984
1143906,Addon,CHN-VAL-1YR,10,1,cus_9663984
1143905,Plan,STV-MTHLY,0,1,cus_9663983
1143905,Addon,CHN-VAL-1YR,10,1,cus_9663983
1143903,Plan,STV-MTHLY,0,1,cus_9663981
1143903,Addon,CHN-VAL-1YR,10,1,cus_9663981
1143899,Plan,STV-MTHLY,0,1,cus_9663977
1143899,Addon,CHN-VAL-1YR,10,1,cus_9663977
1161510,Addon,CHN-VAL-1YR,10,1,cus_9519876
1142319,Addon,CHN-VAL-1YR,10,1,cus_9663958
1142317,Plan,STV-MTHLY,0,1,cus_9663963
1142317,Addon,CHN-VAL-1YR,10,1,cus_9663963
1142315,Plan,STV-MTHLY,0,1,cus_9663960
1142315,Addon,CHN-VAL-1YR,10,1,cus_9663960
1142318,Addon,CHN-VAL-1YR,10,1,cus_9663958
1142312,Plan,STV-MTHLY,0,1,cus_9663957
1142312,Addon,CHN-VAL-1YR,10,1,cus_9663957
1142284,Plan,STV-MTHLY,0,1,cus_9663999
1142284,Addon,CHN-VAL-1YR,10,1,cus_9663999
1142282,Plan,STV-MTHLY,0,1,cus_9663997
1142282,Addon,CHN-VAL-1YR,10,1,cus_9663997
1142281,Plan,STV-MTHLY,0,1,cus_9663996
1142281,Addon,CHN-VAL-1YR,10,1,cus_9663996
1142280,Plan,STV-MTHLY,0,1,cus_9663995
1142280,Addon,CHN-VAL-1YR,10,1,cus_9663995
1142271,Addon,CHN-VAL-1YR,10,1,cus_9519831
1142270,Addon,CHN-VAL-1YR,10,1,cus_9519831
1142262,Plan,STV-MTHLY,0,1,cus_9663910
1142262,Addon,CHN-VAL-1YR,10,1,cus_9663910
1147634,Addon,CHN-VAL-1YR,10,1,cus_9663909
1142257,Plan,STV-MTHLY,0,1,cus_9663906
1142257,Addon,CHN-VAL-1YR,10,1,cus_9663906
1142232,Addon,CHN-VAL-1YR,10,1,cus_9645089
1142230,Plan,STV-MTHLY,0,1,cus_9663879
1142230,Addon,CHN-VAL-1YR,10,1,cus_9663879
1142231,Addon,CHN-VAL-1YR,10,1,cus_9645089
1142269,Addon,CHN-VAL-1YR,10,1,cus_9519831
1142321,Addon,CHN-VAL-1YR,10,1,cus_9663877
1140785,Plan,STV-MTHLY,0,1,cus_9663875
1140785,Addon,CHN-VAL-1YR,10,1,cus_9663875
1140786,Addon,CHN-VAL-1YR,10,1,cus_9630746
1140767,Plan,STV-MTHLY,0,1,cus_9663861
1140767,Addon,CHN-VAL-1YR,10,1,cus_9663861
1140754,Plan,STV-MTHLY,0,1,cus_9663846
1140754,Addon,CHN-VAL-1YR,10,1,cus_9663846
1140735,Plan,STV-MTHLY,0,1,cus_9663899
1140735,Addon,CHN-VAL-1YR,10,1,cus_9663899
1140731,Plan,STV-MTHLY,0,1,cus_9663818
1140731,Addon,CHN-VAL-1YR,10,1,cus_9663818
1138800,Plan,STV-MTHLY,0,1,cus_9663811
1138800,Addon,CHN-VAL-1YR,10,1,cus_9663811
1138788,Plan,STV-MTHLY,0,1,cus_9663799
1138788,Addon,CHN-VAL-1YR,10,1,cus_9663799
1138798,Addon,CHN-VAL-1YR,10,1,cus_9663797
1138784,Addon,CHN-VAL-1YR,10,1,cus_9663795
1138764,Plan,STV-MTHLY,0,1,cus_9663778
1138764,Addon,CHN-VAL-1YR,10,1,cus_9663778
1138760,Plan,STV-MTHLY,0,1,cus_9663774
1138760,Addon,CHN-VAL-1YR,10,1,cus_9663774
1138755,Plan,STV-MTHLY,0,1,cus_9663769
1138755,Addon,CHN-VAL-1YR,10,1,cus_9663769
1138745,Addon,CHN-VAL-1YR,10,1,cus_9663757
1138743,Addon,CHN-VAL-1YR,10,1,cus_9663741
1138738,Plan,STV-MTHLY,0,1,cus_9663753
1138738,Addon,CHN-VAL-1YR,10,1,cus_9663753
1138737,Plan,STV-MTHLY,0,1,cus_9663759
1138737,Addon,CHN-VAL-1YR,10,1,cus_9663759
1138742,Addon,CHN-VAL-1YR,10,1,cus_9663741
1138726,Plan,STV-MTHLY,0,1,cus_9663741
1138726,Addon,CHN-VAL-1YR,10,1,cus_9663741
1138722,Plan,STV-MTHLY,0,1,cus_9663738
1138722,Addon,CHN-VAL-1YR,10,1,cus_9663738
1138721,Addon,CHN-VAL-1YR,10,1,cus_9663737
1136587,Addon,CHN-VAL-1YR,10,1,cus_9634451
1136572,Plan,STV-MTHLY,0,1,cus_9663791
1136572,Addon,CHN-VAL-1YR,10,1,cus_9663791
1136566,Plan,STV-MTHLY,0,1,cus_9663715
1136566,Addon,CHN-VAL,4.99,1,cus_9663715
1136564,Plan,STV-MTHLY,0,1,cus_9663713
1136564,Addon,CHN-VAL,4.99,1,cus_9663713
1136561,Plan,STV-MTHLY,0,1,cus_9663710
1136561,Addon,CHN-VAL-1YR,10,1,cus_9663710
1136551,Plan,STV-MTHLY,0,1,cus_9663700
1136551,Addon,CHN-VAL-1YR,10,1,cus_9663700
1136544,Plan,STV-MTHLY,0,1,cus_9663693
1136544,Addon,CHN-VAL-1YR,10,1,cus_9663693
1136527,Plan,STV-MTHLY,0,1,cus_9663676
1136527,Addon,CHN-VAL-1YR,10,1,cus_9663676
1136526,Plan,STV-MTHLY,0,1,cus_9663675
1136526,Addon,CHN-VAL-1YR,10,1,cus_9663675
1136518,Plan,STV-MTHLY,0,1,cus_9663668
1136518,Addon,CHN-VAL-1YR,10,1,cus_9663668
1136515,Plan,STV-MTHLY,0,1,cus_9663665
1136515,Addon,CHN-VAL-1YR,10,1,cus_9663665
1136510,Plan,STV-MTHLY,0,1,cus_9663660
1136510,Addon,CHN-VAL-1YR,10,1,cus_9663660
1134408,Plan,STV-MTHLY,0,1,cus_9663657
1134408,Addon,CHN-VAL-1YR,10,1,cus_9663657
1134403,Plan,STV-MTHLY,0,1,cus_9663659
1134403,Addon,CHN-VAL-1YR,10,1,cus_9663659
1134392,Plan,STV-MTHLY,0,1,cus_9663640
1134392,Addon,CHN-VAL-1YR,10,1,cus_9663640
1134390,Plan,STV-MTHLY,0,1,cus_9663638
1134390,Addon,CHN-VAL-1YR,10,1,cus_9663638
1134385,Plan,STV-MTHLY,0,1,cus_9663635
1134385,Addon,CHN-VAL-1YR,10,1,cus_9663635
1134386,Addon,CHN-VAL-1YR,10,1,cus_9663631
1134378,Plan,STV-MTHLY,0,1,cus_9663698
1134378,Addon,CHN-VAL-1YR,10,1,cus_9663698
1134375,Plan,STV-MTHLY,0,1,cus_9663695
1134375,Addon,CHN-VAL-1YR,10,1,cus_9663695
1134372,Plan,STV-MTHLY,0,1,cus_9663699
1134372,Addon,CHN-VAL-1YR,10,1,cus_9663699
1134370,Plan,STV-MTHLY,0,1,cus_9663617
1134370,Addon,CHN-VAL-1YR,10,1,cus_9663617
1134363,Plan,STV-MTHLY,0,1,cus_9663610
1134363,Addon,CHN-VAL-1YR,10,1,cus_9663610
1134362,Plan,STV-MTHLY,0,1,cus_9663609
1134362,Addon,CHN-VAL-1YR,10,1,cus_9663609
1134358,Plan,STV-MTHLY,0,1,cus_9663605
1134358,Addon,CHN-VAL-1YR,10,1,cus_9663605
1134343,Addon,CHN-VAL-1YR,10,1,cus_9663591
1134331,Plan,STV-MTHLY,0,1,cus_9663580
1134331,Addon,CHN-VAL-1YR,10,1,cus_9663580
1134326,Plan,STV-MTHLY,0,1,cus_9663575
1134326,Addon,CHN-VAL-1YR,10,1,cus_9663575
1134323,Plan,STV-MTHLY,0,1,cus_9663579
1134323,Addon,CHN-VAL-1YR,10,1,cus_9663579
1134320,Plan,STV-MTHLY,0,1,cus_9663570
1134320,Addon,CHN-VAL-1YR,10,1,cus_9663570
1147633,Addon,CHN-VAL-1YR,10,1,cus_9663563
1134311,Plan,STV-MTHLY,0,1,cus_9663561
1134311,Addon,CHN-VAL-1YR,10,1,cus_9663561
1134309,Plan,STV-MTHLY,0,1,cus_9663559
1134309,Addon,CHN-VAL-1YR,10,1,cus_9663559
1134308,Plan,STV-MTHLY,0,1,cus_9663558
1134308,Addon,CHN-VAL-1YR,10,1,cus_9663558
1134306,Plan,STV-MTHLY,0,1,cus_9663555
1134306,Addon,CHN-VAL-1YR,10,1,cus_9663555
1134303,Plan,STV-MTHLY,0,1,cus_9663554
1134303,Addon,CHN-VAL-1YR,10,1,cus_9663554
1134302,Plan,STV-MTHLY,0,1,cus_9663553
1134302,Addon,CHN-VAL-1YR,10,1,cus_9663553
1134301,Plan,STV-MTHLY,0,1,cus_9663549
1134301,Addon,CHN-VAL-1YR,10,1,cus_9663549
1134304,Addon,CHN-VAL-1YR,10,1,cus_9663549
1134293,Addon,CHN-VAL-1YR,10,1,cus_9663549
1132741,Plan,STV-MTHLY,0,1,cus_9663540
1132741,Addon,CHN-VAL-1YR,10,1,cus_9663540
1132739,Plan,STV-MTHLY,0,1,cus_9663538
1132739,Addon,CHN-VAL-1YR,10,1,cus_9663538
1132729,Plan,STV-MTHLY,0,1,cus_9663598
1132729,Addon,CHN-VAL-1YR,10,1,cus_9663598
1161575,Addon,Tax,0,1,cus_9663597
1161575,Addon,FREE-KITSH,4.99,1,cus_9663597
1132728,Plan,STV-MTHLY,0,1,cus_9663597
1132728,Addon,CHN-VAL-1YR,10,1,cus_9663597
1132724,Plan,STV-MTHLY,0,1,cus_9663599
1132724,Addon,CHN-VAL-1YR,10,1,cus_9663599
1132719,Addon,CHN-VAL-1YR,10,1,cus_9639170
1132714,Addon,CHN-VAL-1YR,10,1,cus_9659953
1132709,Plan,STV-MTHLY,0,1,cus_9663519
1132709,Addon,CHN-VAL-1YR,10,1,cus_9663519
1132684,Plan,STV-MTHLY,0,1,cus_9663491
1132684,Addon,CHN-VAL-1YR,10,1,cus_9663491
1132655,Plan,STV-MTHLY,0,1,cus_9663460
1132655,Addon,CHN-VAL-1YR,10,1,cus_9663460
1132654,Plan,STV-MTHLY,0,1,cus_9663459
1132654,Addon,CHN-VAL-1YR,10,1,cus_9663459
1132644,Plan,STV-MTHLY,0,1,cus_9663449
1132644,Addon,CHN-VAL-1YR,10,1,cus_9663449
1132641,Plan,STV-MTHLY,0,1,cus_9663446
1132641,Addon,CHN-VAL-1YR,10,1,cus_9663446
1149641,Addon,CHN-VAL-1YR,10,1,cus_9663445
1132628,Plan,STV-MTHLY,0,1,cus_9663439
1132628,Addon,CHN-VAL-1YR,10,1,cus_9663439
1132627,Plan,STV-MTHLY,0,1,cus_9663431
1132627,Addon,CHN-VAL-1YR,10,1,cus_9663431
1132626,Plan,STV-MTHLY,0,1,cus_9663430
1132626,Addon,CHN-VAL-1YR,10,1,cus_9663430
1161591,Addon,CHN-VAL-1YR,10,1,cus_9471770
1130964,Plan,STV-MTHLY,0,1,cus_9663494
1130964,Addon,CHN-VAL-1YR,10,1,cus_9663494
1130963,Plan,STV-MTHLY,0,1,cus_9663493
1130963,Addon,CHN-VAL-1YR,10,1,cus_9663493
1130959,Plan,STV-MTHLY,0,1,cus_9663419
1130959,Addon,Tax,0,1,cus_9663419
1130959,Addon,FCT-HOMERUN-BOX,209,1,cus_9663419
1130958,Plan,STV-MTHLY,0,1,cus_9663418
1130958,Addon,CHN-VAL-1YR,10,1,cus_9663418
1130951,Plan,STV-MTHLY,0,1,cus_9663413
1130951,Addon,CHN-VAL-1YR,10,1,cus_9663413
1130943,Plan,STV-MTHLY,0,1,cus_9663407
1130943,Addon,CHN-VAL-1YR,10,1,cus_9663407
1140780,Addon,CHN-VAL-1YR,10,1,cus_9663390
1130902,Plan,STV-MTHLY,0,1,cus_9663369
1130902,Addon,CHN-VAL-1YR,10,1,cus_9663369
1130895,Plan,STV-MTHLY,0,1,cus_9663355
1130895,Addon,CHN-VAL-1YR,10,1,cus_9663355
1130887,Plan,STV-MTHLY,0,1,cus_9663347
1130887,Addon,CHN-VAL-1YR,10,1,cus_9663347
1142244,Addon,CHN-VAL-1YR,10,1,cus_9647968
1134349,Addon,CHN-VAL-1YR,10,1,cus_9516199
1127085,Plan,STV-MTHLY,0,1,cus_9663349
1127085,Addon,CHN-VAL-1YR,10,1,cus_9663349
1127071,Plan,STV-MTHLY,0,1,cus_9663397
1127071,Addon,CHN-VAL-1YR,10,1,cus_9663397
1127070,Plan,STV-MTHLY,0,1,cus_9663396
1127070,Addon,CHN-VAL-1YR,10,1,cus_9663396
1127065,Plan,STV-MTHLY,0,1,cus_9663393
1127065,Addon,CHN-VAL-1YR,10,1,cus_9663393
1140768,Addon,CHN-VAL-1YR,10,1,cus_9663310
1127038,Plan,STV-MTHLY,0,1,cus_9663998
1127038,Addon,CHN-VAL-1YR,10,1,cus_9663998
1127002,Plan,STV-MTHLY,0,1,cus_9663961
1127002,Addon,CHN-VAL-1YR,10,1,cus_9663961
1126975,Plan,STV-MTHLY,0,1,cus_9663933
1126975,Addon,CHN-VAL-1YR,10,1,cus_9663933
1126959,Plan,STV-MTHLY,0,1,cus_9663914
1126959,Addon,CHN-VAL-1YR,10,1,cus_9663914
1123098,Plan,STV-MTHLY,0,1,cus_9663909
1123098,Addon,CHN-VAL-1YR,10,1,cus_9663909
1123088,Plan,STV-MTHLY,0,1,cus_9663199
1123088,Addon,CHN-VAL-1YR,10,1,cus_9663199
1123080,Plan,STV-MTHLY,0,1,cus_9663191
1123080,Addon,CHN-VAL-1YR,10,1,cus_9663191
1123079,Plan,STV-MTHLY,0,1,cus_9663190
1123079,Addon,CHN-VAL-1YR,10,1,cus_9663190
1123075,Plan,STV-MTHLY,0,1,cus_9663186
1123075,Addon,CHN-VAL-1YR,10,1,cus_9663186
1154290,Addon,CHN-VAL-1YR,10,1,cus_9406941
1123055,Plan,STV-MTHLY,0,1,cus_9663166
1123055,Addon,CHN-VAL-1YR,10,1,cus_9663166
1123053,Plan,STV-MTHLY,0,1,cus_9663164
1123053,Addon,CHN-VAL-1YR,10,1,cus_9663164
1123027,Plan,STV-MTHLY,0,1,cus_9663137
1123027,Addon,CHN-VAL-1YR,10,1,cus_9663137
1123015,Plan,STV-MTHLY,0,1,cus_9663191
1123015,Addon,CHN-VAL-1YR,10,1,cus_9663191
1127068,Addon,CHN-VAL,4.83,1,cus_9656799
1140784,Addon,CHN-VAL-1YR,10,1,cus_9630746
1121215,Plan,STV-MTHLY,0,1,cus_9663105
1121215,Addon,CHN-VAL-1YR,10,1,cus_9663105
1121205,Plan,STV-MTHLY,0,1,cus_9663093
1121205,Addon,CHN-VAL-1YR,10,1,cus_9663093
1121202,Plan,STV-MTHLY,0,1,cus_9663090
1121202,Addon,CHN-VAL-1YR,10,1,cus_9663090
1121191,Plan,STV-MTHLY,0,1,cus_9663080
1121191,Addon,CHN-VAL-1YR,10,1,cus_9663080
1121169,Plan,STV-MTHLY,0,1,cus_9663061
1121169,Addon,CHN-VAL-1YR,10,1,cus_9663061
1121168,Plan,STV-MTHLY,0,1,cus_9663060
1121168,Addon,CHN-VAL-1YR,10,1,cus_9663060
1121153,Plan,STV-MTHLY,0,1,cus_9663043
1121153,Addon,CHN-VAL-1YR,10,1,cus_9663043
1121151,Plan,STV-MTHLY,0,1,cus_9663041
1121151,Addon,CHN-VAL-1YR,10,1,cus_9663041
1121149,Plan,STV-MTHLY,0,1,cus_9663039
1121149,Addon,CHN-VAL-1YR,10,1,cus_9663039
1121147,Plan,STV-MTHLY,0,1,cus_9663037
1121147,Addon,CHN-VAL-1YR,10,1,cus_9663037
1121135,Plan,STV-MTHLY,0,1,cus_9663095
1121135,Addon,CHN-VAL-1YR,10,1,cus_9663095
1134322,Addon,CHN-VAL,4.19,1,cus_9508901
1134305,Addon,CHN-VAL-1YR,10,1,cus_9509449
1132701,Addon,CHN-VAL-1YR,10,1,cus_9508439
1119071,Plan,STV-MTHLY,0,1,cus_9663099
1119071,Addon,CHN-VAL-1YR,10,1,cus_9663099
1119070,Plan,STV-MTHLY,0,1,cus_9663091
1119070,Addon,CHN-VAL-1YR,10,1,cus_9663091
1119067,Plan,STV-MTHLY,0,1,cus_9663018
1119067,Addon,CHN-VAL-1YR,10,1,cus_9663018
1119047,Plan,STV-MTHLY,0,1,cus_9669999
1119047,Addon,CHN-VAL-1YR,10,1,cus_9669999
1119046,Plan,STV-MTHLY,0,1,cus_9669998
